 Name                           Version          License                                                          
 pathspec                       0.7.0            Mozilla Public License 2.0 (MPL 2.0)                             
 pexpect                        4.8.0            ISC License (ISCL)                                               
 pickleshare                    0.7.5            MIT License                                                      
 prometheus-client              0.9.0            Apache Software License                                          
 prompt-toolkit                 3.0.8            BSD License                                                      
 protobuf                       3.14.0           3-Clause BSD License                                             
 ptyprocess                     0.6.0            ISC License (ISCL)                                               
 pyasn1                         0.4.8            BSD License                                                      
 pyasn1-modules                 0.2.8            BSD License                                                      
 pycodestyle                    2.6.0            MIT License                                                      
 pycparser                      2.20             BSD License                                                      
 pyflakes                       2.2.0            MIT License                                                      
 pyparsing                      2.4.7            MIT License                                                      
 pyrsistent                     0.17.3           MIT License                                                      
 python-dateutil                2.8.1            Apache Software License; BSD License                             
 pytorch-lightning              1.1.1            Apache Software License                                          
 pytz                           2020.1           MIT License                                                      
 pyzmq                          19.0.2           BSD License; GNU Library or Lesser General Public License (LGPL) 
 regex                          2020.10.15       Python Software Foundation License                               
 repath                         0.1.0            UNKNOWN                                                          
 requests                       2.25.0           Apache Software License                                          
 requests-oauthlib              1.3.0            BSD License                                                      
 rsa                            4.6              Apache Software License                                          
 scikit-image                   0.17.2           BSD License                                                      
 scikit-learn                   0.23.2           new BSD                                                          
 scipy                          1.5.2            BSD License                                                      
 seaborn                        0.11.1           BSD License                                                      
 six                            1.15.0           MIT License                                                      
 tensorboard                    2.4.0            Apache Software License                                          
 tensorboard-plugin-wit         1.7.0            Apache 2.0                                                       
 terminado                      0.9.1            BSD License                                                      
 testpath                       0.4.4            BSD License                                                      
 threadpoolctl                  2.1.0            BSD License                                                      
 tifffile                       2020.10.1        BSD License                                                      
 toml                           0.10.1           MIT License                                                      
 toolz                          0.11.1           BSD License                                                      
 torch                          1.8.0            BSD License                                                      
 torchaudio                     0.8.0a0+a751e1d  BSD License                                                      
 torchvision                    0.9.0            BSD                                                              
 tornado                        6.0.4            Apache Software License                                          
 tqdm                           4.54.1           MIT License; Mozilla Public License 2.0 (MPL 2.0)                
 traitlets                      4.3.3            BSD License                                                      
 typed-ast                      1.4.1            Apache License 2.0                                               
 typing-extensions              3.7.4.3          Python Software Foundation License                               
 urllib3                        1.26.2           MIT License                                                      
 wcwidth                        0.2.5            MIT License                                                      
 webencodings                   0.5.1            BSD License                                                      
 zipp                           3.4.0            MIT License                                                      
